CategoryID,Category Path
170171,"Baby > Keepsakes, Memory Books > Keepsakes"
146532,"Baby > Keepsakes, Memory Books > Other"
154903,"Baby > Maternity Clothing > Belly Belts, Bands"
11517,Baby > Maternity Clothing > Bras
15751,Baby > Maternity Clothing > Breastfeeding
63856,"Baby > Maternity Clothing > Coats, Jackets & Vests"
11534,Baby > Maternity Clothing > Dresses
11535,Baby > Maternity Clothing > Jeans
11538,Baby > Maternity Clothing > Jumpers
53447,Baby > Maternity Clothing > Jumpsuits
46809,Baby > Maternity Clothing > Leggings
167903,"Baby > Maternity Clothing > Outfits, Sets"
117769,Baby > Maternity Clothing > Panties
63857,Baby > Maternity Clothing > Pants
179840,Baby > Maternity Clothing > Pantyhose & Tights
15747,Baby > Maternity Clothing > Shorts
11536,Baby > Maternity Clothing > Skirts
117771,Baby > Maternity Clothing > Sleepwear
108898,Baby > Maternity Clothing > Suits & Suit Separates
15748,Baby > Maternity Clothing > Swimwear
63858,Baby > Maternity Clothing > Tops
155206,"Baby > Maternity Clothing > Tracksuits, Hoodies"
15754,Baby > Maternity Clothing > Mixed Items
1264,Baby > Maternity Clothing > Other
66674,Baby > Nappies > Change Mats & Covers
26267,Baby > Nappies > Covers
20397,Baby > Nappies > Disposal
106792,Baby > Nappies > Materials
146531,Baby > Nappies > Nappies (Cloth)
15559,Baby > Nappies > Nappies (Disposable)
15558,Baby > Nappies > Nappy Bags
121469,Baby > Nappies > Stackers
45456,Baby > Nappies > Wipes
20399,Baby > Nappies > Other Nappies
105965,Baby > Nursery Décor > Clocks
20428,"Baby > Nursery Décor > Lamps, Lights"
37632,"Baby > Nursery Décor > Mats, Rugs"
20429,Baby > Nursery Décor > Mobiles
33235,Baby > Nursery Décor > Photo Frames
37633,Baby > Nursery Décor > Wall Décor
98473,Baby > Nursery Décor > Other Nursery Décor
66700,"Baby > Prams, Strollers & Accs > Prams & Strollers"
180912,"Baby > Prams, Strollers & Accs > Pram & Stroller Accessories > Bassinets"
116554,"Baby > Prams, Strollers & Accs > Pram & Stroller Accessories > Covers, Canopies & Umbrellas"
180913,"Baby > Prams, Strollers & Accs > Pram & Stroller Accessories > Cup Holders & Snack Trays"
116553,"Baby > Prams, Strollers & Accs > Pram & Stroller Accessories > Footmuffs, Aprons"
180914,"Baby > Prams, Strollers & Accs > Pram & Stroller Accessories > Hooks"
180915,"Baby > Prams, Strollers & Accs > Pram & Stroller Accessories > Organisers & Nets"
180916,"Baby > Prams, Strollers & Accs > Pram & Stroller Accessories > Seat Liners"
112378,"Baby > Prams, Strollers & Accs > Pram & Stroller Accessories > Stroller Boards"
180917,"Baby > Prams, Strollers & Accs > Pram & Stroller Accessories > Other Stroller Accessories"
121634,"Baby > Prams, Strollers & Accs > Pram & Stroller Parts"
2989,"Baby > Prams, Strollers & Accs > Other Prams & Strolllers"
20435,Baby > Safety > Baby Monitors
117027,Baby > Safety > Baby Proofing > Baby Locks & Latches
162184,Baby > Safety > Baby Proofing > Edge & Corner Guards
134764,Baby > Safety > Baby Proofing > Outlet Covers
106803,Baby > Safety > Baby Proofing > Stove Guards
20434,Baby > Safety > Baby Proofing > Other Baby Proofing
117026,Baby > Safety > Baby Thermometers
162183,Baby > Safety > Bed Guards
134762,Baby > Safety > Car Window Signs & Decals
184343,Baby > Safety > Hearing Protection Earmuffs
2988,Baby > Safety > Playpens
117029,Baby > Safety > Safety Gates
134761,Baby > Safety > Toddler Safety Harnesses
20436,Baby > Safety > Other Baby Safety
37631,Baby > Toilet Training
106002,Baby > Toys (0 - 12 months) > Activity Toys
106003,Baby > Toys (0 - 12 months) > Bathtime Toys
100227,Baby > Toys (0 - 12 months) > Educational Toys
106009,Baby > Toys (0 - 12 months) > Fisher Price
150594,Baby > Toys (0 - 12 months) > Jolly Jumpers
106004,Baby > Toys (0 - 12 months) > Musical Toys
106005,"Baby > Toys (0 - 12 months) > Play-Doh, Modelling Clay"
106006,Baby > Toys (0 - 12 months) > Playgro
106007,Baby > Toys (0 - 12 months) > Playskool
106008,Baby > Toys (0 - 12 months) > Pull Toys
131081,Baby > Toys (0 - 12 months) > Rattles
131084,Baby > Toys (0 - 12 months) > Soft Toys
134282,Baby > Toys (0 - 12 months) > Walkers
179013,Baby > Toys (0 - 12 months) > Other Baby Toys
48757,"Baby > Wholesale, Bulk Lots"
1261,Baby > Other Baby Items
45111,"Books, Magazines > Accessories, Gift Books > Address Books"
45114,"Books, Magazines > Accessories, Gift Books > Bookmarks"
156486,"Books, Magazines > Accessories, Gift Books > Calendars (current)"
45112,"Books, Magazines > Accessories, Gift Books > Diaries, Journals"
32044,"Books, Magazines > Accessories, Gift Books > Gift Books, Cards"
120869,"Books, Magazines > Accessories, Gift Books > Reading Lights"
45115,"Books, Magazines > Accessories, Gift Books > Other Accessories"
